"CODE","NAME","DATE","mean","median","sd","min","max"
110001,"Alta Floresta D'Oeste","2016-10-31",0.7556,0.832,0.1616,0,1
110002,"Ariquemes","2016-10-31",0.6594,0.636,0.154,0.132,1
110003,"Cabixi","2016-10-31",0.6007,0.536,0.2144,0.12,1
110004,"Cacoal","2016-10-31",0.638,0.6,0.1546,0.172,0.996
110005,"Cerejeiras","2016-10-31",0.5349,0.48,0.1941,0.108,0.976
110006,"Colorado do Oeste","2016-10-31",0.5905,0.572,0.1221,0.152,0.968
110007,"Corumbiara","2016-10-31",0.5896,0.544,0.2007,0.108,1
110008,"Costa Marques","2016-10-31",0.7777,0.876,0.1636,0.26,0.98
110009,"Espigão D'Oeste","2016-10-31",0.7519,0.788,0.1505,0.24,1
110010,"Guajará-Mirim","2016-10-31",0.8332,0.896,0.1435,0,1
110011,"Jaru","2016-10-31",0.6763,0.664,0.1179,0.28,1
110012,"Ji-Paraná","2016-10-31",0.762,0.792,0.1497,0.216,1
110013,"Machadinho D'Oeste","2016-10-31",0.7778,0.884,0.1812,0.188,1
110014,"Nova Brasilândia D'Oeste","2016-10-31",0.6061,0.576,0.1165,0.168,0.952
110015,"Ouro Preto do Oeste","2016-10-31",0.6847,0.676,0.1031,0.216,0.996
110018,"Pimenta Bueno","2016-10-31",0.6821,0.66,0.177,0.24,1
110020,"Porto Velho","2016-10-31",0.8338,0.896,0.1497,0,1
110025,"Presidente Médici","2016-10-31",0.6136,0.596,0.1114,0.324,0.988
110026,"Rio Crespo","2016-10-31",0.6722,0.66,0.1817,0.132,1
110028,"Rolim de Moura","2016-10-31",0.5476,0.544,0.0825,0.216,0.896
110029,"Santa Luzia D'Oeste","2016-10-31",0.6242,0.592,0.1368,0.304,1
110030,"Vilhena","2016-10-31",0.7989,0.888,0.165,0.108,1
110032,"São Miguel do Guaporé","2016-10-31",0.7428,0.828,0.17,0.148,1
110033,"Nova Mamoré","2016-10-31",0.7818,0.88,0.163,0.04,1
110034,"Alvorada D'Oeste","2016-10-31",0.7341,0.768,0.1641,0.168,1
110037,"Alto Alegre dos Parecis","2016-10-31",0.7114,0.736,0.1756,0.156,1
110040,"Alto Paraíso","2016-10-31",0.665,0.612,0.1851,0.132,1
110045,"Buritis","2016-10-31",0.6803,0.628,0.1645,0.22,1
110050,"Novo Horizonte do Oeste","2016-10-31",0.5813,0.572,0.095,0.168,0.908
110060,"Cacaulândia","2016-10-31",0.7092,0.708,0.1231,0.328,1
110070,"Campo Novo de Rondônia","2016-10-31",0.7404,0.816,0.1656,0.22,0.992
110080,"Candeias do Jamari","2016-10-31",0.786,0.888,0.185,0.008,1
110090,"Castanheiras","2016-10-31",0.5608,0.52,0.1283,0.2,0.952
110092,"Chupinguaia","2016-10-31",0.6589,0.62,0.1967,0.108,1
110094,"Cujubim","2016-10-31",0.8342,0.896,0.1458,0.076,0.98
110100,"Governador Jorge Teixeira","2016-10-31",0.7613,0.872,0.1611,0.328,1
110110,"Itapuã do Oeste","2016-10-31",0.7564,0.888,0.2018,0.008,1
110120,"Ministro Andreazza","2016-10-31",0.6436,0.62,0.1032,0.424,0.988
110130,"Mirante da Serra","2016-10-31",0.6895,0.66,0.1816,0.256,0.964
